id,x,z,y
1,1,0,3.669027
2,0,1,-1.280775
3,1,0,-2.989365
4,0,1,-4.584109
5,1,1,-5.197039
6,0,1,-2.143625
7,0,1,-2.182528
8,0,1,-1.681791
9,1,1,-2.3042
10,0,1,2.189364
11,0,1,.0362066
12,1,0,1.741812
13,0,1,2.300435
14,1,0,1.694521
15,0,1,-.6431594
16,0,1,2.034338
17,0,1,-.7031975
18,0,1,1.428307
19,1,0,4.285809
20,0,0,7.572156
21,1,0,4.977945
22,0,0,2.28841
23,0,1,.8646973
24,1,1,-1.270617
25,1,0,-1.308515
26,1,1,5.385727
27,0,0,.6456253
28,0,1,-2.609688
29,1,0,1.170035
30,0,1,-2.871519
31,0,1,-1.973345
32,0,1,-.407244
33,0,0,-.9638961
34,0,0,.5841726
35,1,0,-1.731466
36,0,1,-1.005683
37,1,0,1.861029
38,1,0,-.0177444
39,0,1,-1.282132
40,0,0,2.549306
41,1,0,4.044347
42,1,0,2.657213
43,0,1,-.5903882
44,0,1,1.358132
45,1,0,2.007226
46,1,0,-1.806934
47,1,0,1.119154
48,0,1,-4.811904
49,1,1,3.107974
50,0,1,2.531104
51,0,1,-.8216259
52,0,1,-1.214011
53,1,0,-1.031199
54,0,0,3.752153
55,0,1,-2.946009
56,1,0,-1.843546
57,0,1,.3130349
58,0,1,-2.336156
59,0,1,-3.253395
60,1,0,-1.373528
61,0,0,-.2603906
62,0,1,-3.673168
63,0,1,-4.401056
64,0,1,-3.027816
65,1,0,-1.211486
66,0,1,-1.564576
67,1,1,-1.224153
68,1,0,.0724726
69,1,1,.4196191
70,0,0,3.533991
71,0,1,-2.725139
72,1,0,-2.532933
73,1,0,.4463657
74,1,0,-2.675754
75,0,1,-1.179315
76,1,0,-.3293009
77,0,1,.0198033
78,0,1,.7356023
79,0,1,-4.746553
80,1,1,.3234394
81,0,1,3.440145
82,1,0,-1.079605
83,0,1,-1.682381
84,0,0,-4.676736
85,1,0,-4.071118
86,1,0,-.907015
87,1,0,4.916999
88,1,0,7.346022
89,1,0,1.318461
